Date,Time,Away_Team,Home_Team,Arena,Location
10/3/18,7:00 PM,Montreal Canadiens,Toronto Maple Leafs,Scotiabank Arena,"Toronto, Ontario"
10/3/18,7:30 PM,Boston Bruins,Washington Capitals,Capital One Arena,"Washington, D.C."
10/3/18,10:00 PM,Calgary Flames,Vancouver Canucks,Rogers Arena,"Vancouver, British Columbia"
10/3/18,10:30 PM,Anaheim Ducks,San Jose Sharks,SAP Center,"San Jose, California"
10/4/18,7:00 PM,Boston Bruins,Buffalo Sabres,KeyBank Center,"Buffalo, New York"
10/4/18,7:00 PM,Nashville Predators,New York Rangers,Madison Square Garden,"New York, New York"
10/4/18,7:00 PM,Washington Capitals,Pittsburgh Penguins,PPG Paints Arena,"Pittsburgh, Pennsylvania"
10/4/18,7:00 PM,New York Islanders,Carolina Hurricanes,PNC Arena,"Raleigh, North Carolina"
10/4/18,7:30 PM,Chicago Blackhawks,Ottawa Senators,Canadian Tire Centre,"Ottawa, Ontario"
10/4/18,7:30 PM,Columbus Blue Jackets,Detroit Red Wings,Little Caesars Arena,"Detroit, Michigan"
10/4/18,8:00 PM,Winnipeg Jets,St. Louis Blues,Enterprise Center,"St. Louis, Missouri"
10/4/18,8:30 PM,Arizona Coyotes,Dallas Stars,American Airlines Center,"Dallas, Texas"
10/4/18,9:00 PM,Minnesota Wild,Colorado Avalanche,Pepsi Center,"Denver, Colorado"
10/4/18,10:00 PM,Philadelphia Flyers,Vegas Golden Knights,T-Mobile Arena,"Paradise, Nevada"
10/5/18,7:00 PM,Carolina Hurricanes,Columbus Blue Jackets,Nationwide Arena,"Columbus, Ohio"
10/5/18,10:30 PM,San Jose Sharks,Los Angeles Kings,Staples Center,"Los Angeles, California"
10/6/18,1:00 PM,Edmonton Oilers,New Jersey Devils,Prudential Center,"Newark, New Jersey"
10/6/18,7:00 PM,Winnipeg Jets,Dallas Stars,American Airlines Center,"Dallas, Texas"
10/6/18,7:00 PM,New York Rangers,Buffalo Sabres,KeyBank Center,"Buffalo, New York"
10/6/18,7:00 PM,Ottawa Senators,Toronto Maple Leafs,Scotiabank Arena,"Toronto, Ontario"
10/6/18,7:00 PM,Florida Panthers,Tampa Bay Lightning,Amalie Arena,"Tampa, Florida"
10/6/18,7:00 PM,Nashville Predators,New York Islanders,Barclays Center,"Brooklyn, New York"
10/6/18,7:00 PM,Montreal Canadiens,Pittsburgh Penguins,PPG Paints Arena,"Pittsburgh, Pennsylvania"
10/6/18,8:00 PM,Chicago Blackhawks,St. Louis Blues,Enterprise Center,"St. Louis, Missouri"
10/6/18,8:00 PM,Vegas Golden Knights,Minnesota Wild,Xcel Energy Center,"Saint Paul, Minnesota"
10/6/18,9:00 PM,Anaheim Ducks,Arizona Coyotes,Gila River Arena,"Glendale, Arizona"
10/6/18,9:00 PM,Philadelphia Flyers,Colorado Avalanche,Pepsi Center,"Denver, Colorado"
10/6/18,10:00 PM,Vancouver Canucks,Calgary Flames,Scotiabank Saddledome,"Calgary, Alberta"
10/7/18,5:00 PM,New York Rangers,Carolina Hurricanes,PNC Arena,"Raleigh, North Carolina"
10/7/18,7:00 PM,Toronto Maple Leafs,Chicago Blackhawks,United Center,"Chicago, Illinois"
10/7/18,10:30 PM,Detroit Red Wings,Los Angeles Kings,Staples Center,"Los Angeles, California"
10/8/18,1:00 PM,Ottawa Senators,Boston Bruins,TD Garden,"Boston, Massachusetts"
10/8/18,1:00 PM,San Jose Sharks,New York Islanders,Barclays Center,"Brooklyn, New York"
10/8/18,3:00 PM,Vegas Golden Knights,Buffalo Sabres,KeyBank Center,"Buffalo, New York"
10/8/18,10:00 PM,Detroit Red Wings,Anaheim Ducks,Honda Center,"Anaheim, California"
10/9/18,7:00 PM,San Jose Sharks,Philadelphia Flyers,Wells Fargo Center,"Philadelphia, Pennsylvania"
10/9/18,7:00 PM,Vancouver Canucks,Carolina Hurricanes,PNC Arena,"Raleigh, North Carolina"
10/9/18,7:00 PM,Colorado Avalanche,Columbus Blue Jackets,Nationwide Arena,"Columbus, Ohio"
10/9/18,8:00 PM,Calgary Flames,Nashville Predators,Bridgestone Arena,"Nashville, Tennessee"
10/9/18,8:00 PM,Los Angeles Kings,Winnipeg Jets,Bell MTS Place,"Winnipeg, Manitoba"
10/9/18,8:30 PM,Toronto Maple Leafs,Dallas Stars,American Airlines Center,"Dallas, Texas"
10/10/18,7:30 PM,Philadelphia Flyers,Ottawa Senators,Canadian Tire Centre,"Ottawa, Ontario"
