Teams,Arena,Location,Capacity,Opened,Season_of_first_NHL_game
Tampa Bay Lightning,Amalie Arena,"Tampa, Florida",19092,1996,1996Ð97
Dallas Stars,American Airlines Center,"Dallas, Texas",18532,2001,2001Ð02
Florida Panthers,BB&T Center,"Sunrise, Florida",19250,1998,1998Ð99
New York Islanders,Barclays Center,"Brooklyn, New York",15795,2012,2015Ð16
Montreal Canadiens,Bell Centre,"Montreal, Quebec",21302,1996,1995Ð96
Winnipeg Jets,Bell MTS Place,"Winnipeg, Manitoba",15321,2004,2011Ð12
Nashville Predators,Bridgestone Arena,"Nashville, Tennessee",17113,1996,1998Ð99
Ottawa Senators,Canadian Tire Centre,"Ottawa, Ontario",17373,1996,1995Ð96
Washington Capitals,Capital One Arena,"Washington, D.C.",18506,1997,1997Ð98
St. Louis Blues,Enterprise Center,"St. Louis, Missouri",18724,1994,1994Ð95
Arizona Coyotes,Gila River Arena,"Glendale, Arizona",17125,2003,2003Ð04
Anaheim Ducks,Honda Center,"Anaheim, California",17174,1993,1993Ð94
Buffalo Sabres,KeyBank Center,"Buffalo, New York",19070,1996,1996Ð97
Detroit Red Wings,Little Caesars Arena,"Detroit, Michigan",19515,2017,2017Ð18
New York Rangers,Madison Square Garden,"New York, New York",18006,1968,1967Ð68
Columbus Blue Jackets,Nationwide Arena,"Columbus, Ohio",18144,2000,2000Ð01
Colorado Avalanche,Pepsi Center,"Denver, Colorado",17809,1999,1999Ð2000
Carolina Hurricanes,PNC Arena,"Raleigh, North Carolina",18680,1999,1999Ð2000
Pittsburgh Penguins,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387,2010,2010Ð11
New Jersey Devils,Prudential Center,"Newark, New Jersey",16514,2007,2007Ð08
Vancouver Canucks,Rogers Arena,"Vancouver, British Columbia",18910,1995,1995Ð96
Edmonton Oilers,Rogers Place,"Edmonton, Alberta",18347,2016,2016Ð17
Toronto Maple Leafs,Scotiabank Arena,"Toronto, Ontario",18819,1999,1998Ð99
Calgary Flames,Scotiabank Saddledome,"Calgary, Alberta",19289,1983,1983Ð84
San Jose Sharks,SAP Center,"San Jose, California",17562,1993,1993Ð94
Los Angeles Kings,Staples Center,"Los Angeles, California",18230,1999,1999Ð2000
Boston Bruins,TD Garden,"Boston, Massachusetts",17565,1995,1995Ð96
Vegas Golden Knights,T-Mobile Arena,"Paradise, Nevada",17368,2016,2017Ð18
Chicago Blackhawks,United Center,"Chicago, Illinois",19717,1994,1994Ð95
Philadelphia Flyers,Wells Fargo Center,"Philadelphia, Pennsylvania",19543,1996,1996Ð97
Minnesota Wild,Xcel Energy Center,"Saint Paul, Minnesota",17954,2000,2000Ð01
